legacy_url	new_url	anchor	page	duplicate
https://docs.arcadedb.com/#users	https://docs.arcadedb.com/arcadedb/how-to/operations/users.html	users	how-to/operations/users.adoc	0
https://docs.arcadedb.com/#util-compress	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#util-compress	util-compress	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#util-decompress	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#util-decompress	util-decompress	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#util-md5	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#util-md5	util-md5	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#util-sha1	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#util-sha1	util-sha1	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#util-sha256	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#util-sha256	util-sha256	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#util-sha512	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#util-sha512	util-sha512	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#util-sleep	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#util-sleep	util-sleep	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#util-validate	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#util-validate	util-validate	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#uuid	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#uuid	uuid	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#values	https://docs.arcadedb.com/arcadedb/reference/sql/sql-methods.html#values	values	reference/sql/sql-methods.adoc	0
https://docs.arcadedb.com/#variance	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#variance	variance	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-add	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-add	vector-add	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-add-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-add-ext	vector-add-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-approx-distance	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-approx-distance	vector-approx-distance	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-approxdistance-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-approxdistance-ext	vector-approxdistance-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-avg	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-avg	vector-avg	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-avg-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-avg-ext	vector-avg-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-clip	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-clip	vector-clip	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-clip-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-clip-ext	vector-clip-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-cosine-similarity	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-cosine-similarity	vector-cosine-similarity	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-cosinesimilarity-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-cosinesimilarity-ext	vector-cosinesimilarity-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-dense-to-sparse	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-dense-to-sparse	vector-dense-to-sparse	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-densetosparse-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-densetosparse-ext	vector-densetosparse-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-dequantize-int8	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-dequantize-int8	vector-dequantize-int8	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-dequantizeint8-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-dequantizeint8-ext	vector-dequantizeint8-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-dimension	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-dimension	vector-dimension	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-dimension-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-dimension-ext	vector-dimension-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-distance-similarity	https://docs.arcadedb.com/arcadedb/reference/vector-functions/distance-similarity.html	vector-distance-similarity	reference/vector-functions/distance-similarity.adoc	0
https://docs.arcadedb.com/#vector-dot-product	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-dot-product	vector-dot-product	reference/sql/sql-functions.adoc	0
